Name,Et_eV,Sn_cm2,Sp_cm2,k,BG,Actual,Predict
D-015838,0.145887108,-14.40328273,-16.44717717,2.043894443,1,0.145887108,0.146187246
D-185602,0.104270742,-13.13214874,-13.98932834,0.857179605,1,0.104270742,0.103944382
D-258813,0.142017926,-14.880548,-16.31528989,1.434741896,1,0.142017926,0.141972882
D-263507,0.041847084,-16.98639397,-15.28944396,-1.69695001,1,0.041847084,0.08821321
D-377087,0.072132886,-13.69204802,-14.21503056,0.522982545,1,0.072132886,0.07061224
D-027112,0.197612727,-13.44410206,-15.62068652,2.176584458,1,0.197612727,0.197340171
D-182652,0.371481695,-16.71346657,-13.93987527,-2.773591304,1,0.371481695,0.368979486
D-194727,0.351134507,-13.29802282,-14.57631373,1.278290906,1,0.351134507,0.350220471
D-025021,0.345127238,-15.97511621,-14.22844019,-1.74667602,1,0.345127238,0.343161361
D-488468,0.213701334,-16.34568898,-15.39886237,-0.946826611,1,0.213701334,0.221239791
D-010299,0.421459208,-15.59241985,-13.10950761,-2.482912237,1,0.421459208,0.41724159
D-452703,0.200795765,-15.26681062,-15.78066481,0.513854186,1,0.200795765,0.201108548
D-430729,0.174289784,-13.5179036,-15.43167451,1.913770911,1,0.174289784,0.173802406
D-065942,0.042189643,-14.3125598,-14.56906487,0.256505069,1,0.042189643,0.038146859
D-052049,0.074279696,-13.43414085,-16.43566774,3.001526886,1,0.074279696,0.074365873
D-238154,0.204422128,-14.0791897,-15.96904015,1.889850445,1,0.204422128,0.204651154
D-394810,0.245180439,-14.05459434,-13.1485537,-0.906040645,1,0.245180439,0.244142912
D-231845,0.241058256,-13.17619209,-14.51647171,1.340279615,1,0.241058256,0.24163065
D-339795,0.252445026,-15.29054493,-14.63141552,-0.659129407,1,0.252445026,0.253442267
D-354751,0.210759575,-13.36712966,-16.48982818,3.122698523,1,0.210759575,0.210658498
D-059419,0.27738996,-13.50354123,-13.2900326,-0.213508629,1,0.27738996,0.277224187
D-409900,0.281451174,-13.55484478,-14.19449339,0.639648606,1,0.281451174,0.280807566
D-352204,0.216079685,-13.29513541,-16.4483077,3.153172283,1,0.216079685,0.216286745
D-211325,0.102957521,-16.9742646,-14.13639788,-2.837866714,1,0.102957521,0.100345556
D-152449,0.284154165,-13.24918579,-15.85371609,2.604530297,1,0.284154165,0.284277607
