Name,Et_eV,Sn_cm2,Sp_cm2,k,BG,Actual,Predict
D-222692,-0.235105298,-14.81586234,-13.6594462,-1.156416142,0,-1.156416142,-1.155141888
D-465089,0.181306728,-15.56673529,-13.53881763,-2.027917665,1,-2.027917665,-2.084300043
D-375552,-0.044356512,-15.92110481,-15.61633292,-0.304771885,0,-0.304771885,-0.310262903
D-274041,-0.028940234,-15.21389181,-16.11226222,0.89837041,0,0.89837041,0.897469519
D-045699,-0.099769891,-13.48671164,-13.307305,-0.179406634,0,-0.179406634,-0.176332322
D-148791,0.089024246,-14.99048217,-13.4690234,-1.521458776,1,-1.521458776,-1.503097249
D-449805,0.417167206,-16.33096333,-13.31609286,-3.014870465,1,-3.014870465,-2.935944922
D-458004,0.218308285,-16.21545854,-15.35207712,-0.863381419,1,-0.863381419,-0.874348841
D-040868,0.163865466,-16.85987839,-15.56212776,-1.297750634,1,-1.297750634,-1.308047774
D-401851,-0.10747542,-15.0485927,-14.25268467,-0.795908032,0,-0.795908032,-0.797589827
D-070953,-0.03788107,-14.37978697,-14.4765603,0.096773333,0,0.096773333,0.09807898
D-096998,0.062141309,-13.28251933,-16.9888448,3.706325469,1,3.706325469,3.727500613
D-217403,-0.225215946,-13.07495897,-14.06727497,0.992316008,0,0.992316008,0.993109717
D-417479,0.165346119,-14.90069838,-14.19321699,-0.707481392,1,-0.707481392,-0.706404303
D-259549,-0.294534405,-14.72329887,-14.68614654,-0.037152327,0,-0.037152327,-0.045362099
D-036113,-0.263163621,-14.91686549,-13.4872969,-1.429568587,0,-1.429568587,-1.403131077
D-084195,0.362647849,-15.51411447,-14.10412375,-1.409990711,1,-1.409990711,-1.511744437
D-266761,0.040551466,-15.09944273,-15.58595921,0.486516475,1,0.486516475,0.486364148
D-477174,-0.065084479,-16.33126718,-15.42579409,-0.905473098,0,-0.905473098,-0.889621013
D-061520,-0.414400632,-14.21952728,-13.32551304,-0.894014235,0,-0.894014235,-0.769977426
D-121935,-0.466514448,-13.30898453,-14.65918957,1.350205038,0,1.350205038,1.191799977
D-384448,0.239299774,-16.69911969,-16.23949647,-0.459623225,1,-0.459623225,-0.485738478
D-110787,0.192262686,-15.5648808,-16.66934553,1.104464724,1,1.104464724,1.116980904
D-070781,0.472799214,-13.01541654,-13.49925011,0.483833568,1,0.483833568,0.100552547
D-261881,0.450438596,-15.90332126,-13.06170432,-2.841616942,1,-2.841616942,-2.633282984
D-024924,0.402287228,-16.18806631,-14.35042164,-1.837644662,1,-1.837644662,-1.915954463
D-360990,0.011937934,-13.17394604,-14.11343167,0.939485629,1,0.939485629,0.940843119
D-222981,-0.203718125,-16.35784474,-13.62080524,-2.737039494,0,-2.737039494,-2.520352044
D-001729,-0.143760842,-16.24830732,-13.53699691,-2.71131041,0,-2.71131041,-2.786896318
D-485491,-0.243934448,-16.15356075,-16.59156909,0.438008338,0,0.438008338,0.435910191
D-142756,-0.234629975,-15.38934649,-13.61043528,-1.77891121,0,-1.77891121,-1.834796664
D-101938,0.030746019,-13.44514794,-16.76387032,3.318722375,1,3.318722375,3.317870289
D-424119,0.006611909,-16.64403458,-14.14715184,-2.496882748,1,-2.496882748,-2.689695056
D-177152,0.209048817,-14.66475908,-13.28233234,-1.382426745,1,-1.382426745,-1.385733449
D-074516,-0.213526762,-16.68611129,-14.83521475,-1.850896541,0,-1.850896541,-2.038375447
D-012248,-0.197886917,-14.37977676,-14.37091145,-0.008865318,0,-0.008865318,-0.004733332
D-473682,0.458343165,-15.13439555,-13.39470408,-1.73969147,1,-1.73969147,-1.654009974
D-039123,-0.109603016,-13.0039521,-14.09918077,1.095228661,0,1.095228661,1.079934418
D-499534,-0.105458154,-15.26152883,-16.27637317,1.014844337,0,1.014844337,1.01378423
D-342453,0.411015642,-13.74144443,-13.77529722,0.033852791,1,0.033852791,0.158249788
