Et_eV,Sn_cm2,Sp_cm2,k,BG,Prediction,Actual,Predict,PredictProba
-0.24999542,-13.71043085,-16.24149268,2.531061827,0,TRUE,0,0,0.995272244
0.258125151,-14.73560576,-15.23967693,0.504071175,1,TRUE,1,1,0.999999905
-0.341013862,-13.73825063,-14.72809222,0.989841588,0,TRUE,0,0,0.999999983
0.077264584,-16.16946085,-15.27473835,-0.894722498,1,TRUE,1,1,0.68369703
0.208459252,-16.26862767,-13.6698855,-2.59874217,1,TRUE,1,1,0.758767344
-0.154432586,-13.95657444,-16.61512939,2.658554949,0,TRUE,0,0,0.999691822
-0.21883542,-14.81669108,-13.82452883,-0.992162245,0,TRUE,0,0,0.999920058
0.142469948,-16.67385703,-16.49809731,-0.175759713,1,FALSE,1,0,0.570304273
-0.004545025,-15.28242688,-15.97175189,0.689325006,0,TRUE,0,0,0.627420279
0.460443857,-15.17738937,-13.25808572,-1.919303652,1,TRUE,1,1,0.999999671
-0.227365265,-14.48023318,-14.31118684,-0.169046339,0,TRUE,0,0,0.796383647
-0.339107959,-14.21579151,-15.87527468,1.659483171,0,TRUE,0,0,1
0.061335213,-15.89030107,-14.64335682,-1.246944253,1,TRUE,1,1,0.767234561
0.100934717,-13.38798556,-14.12116812,0.733182564,1,TRUE,1,1,0.847052726
-0.218884072,-16.13630584,-13.25396611,-2.882339735,0,TRUE,0,0,0.999999187
-0.102247636,-13.89314862,-14.87585922,0.9827106,0,TRUE,0,0,0.574995199
0.088685229,-16.67654954,-16.42033797,-0.256211563,1,FALSE,1,0,0.560917563
0.019129356,-14.61436393,-14.73376728,0.119403355,1,FALSE,1,0,0.561656797
0.039227952,-13.57800369,-13.19090601,-0.387097679,1,TRUE,1,1,0.615528559
-0.380906253,-13.15292479,-13.72270437,0.569779582,0,TRUE,0,0,0.999998994
-0.166987011,-13.91173405,-14.27584772,0.364113669,0,TRUE,0,0,0.683938388
-0.36381182,-14.02322005,-16.76762797,2.744407924,0,TRUE,0,0,1
0.243248878,-15.37580772,-15.47826775,0.102460025,1,TRUE,1,1,0.935255501
0.082733345,-14.6292498,-14.3507911,-0.278458704,1,FALSE,1,0,0.5211128
0.056775682,-16.93237976,-15.38081141,-1.551568347,1,TRUE,1,1,0.724478663
-0.002730402,-13.7228115,-13.58872905,-0.134082445,0,FALSE,0,1,0.504748612
0.46942506,-13.91185086,-13.15054066,-0.761310198,1,TRUE,1,1,0.58995246
-0.240573459,-13.13516279,-16.54282688,3.407664086,0,TRUE,0,0,0.998703853
0.048579398,-13.32690177,-16.27856047,2.951658694,1,TRUE,1,1,0.999968044
-0.449377183,-13.79628382,-13.68633803,-0.10994579,0,FALSE,0,1,0.611327367
0.106217934,-14.49656266,-14.58751379,0.090951126,1,FALSE,1,0,0.558752123
-0.258173822,-14.68006685,-13.87129877,-0.808768078,0,TRUE,0,0,0.999993257
-0.044004515,-13.44640944,-13.8746681,0.42825866,0,TRUE,0,0,0.701769717
0.011800797,-13.59170108,-13.09494112,-0.496759962,1,TRUE,1,1,0.696415939
0.062305534,-16.26768307,-14.62258786,-1.645095209,1,TRUE,1,1,0.76921069
0.22676206,-15.46668762,-15.87037004,0.403682422,1,TRUE,1,1,0.999988544
-0.248107999,-15.92959747,-15.97667736,0.047079887,0,TRUE,0,0,0.624453473
0.288716208,-15.65975694,-15.17402385,-0.485733092,1,TRUE,1,1,0.999019738
0.16023701,-15.94510979,-14.28783246,-1.657277333,1,TRUE,1,1,0.730025769
-0.32519857,-14.68561631,-13.2536217,-1.431994604,0,TRUE,0,0,0.99999986
-0.121108384,-15.29442098,-13.07302278,-2.221398199,0,TRUE,0,0,0.814273386
0.336373798,-13.37853407,-13.45987586,0.081341793,1,TRUE,1,1,0.91598839
-0.310992049,-13.51946381,-15.65977712,2.140313312,0,TRUE,0,0,0.999999999
-0.155906181,-15.67516033,-13.3251417,-2.350018629,0,TRUE,0,0,0.985754612
0.165611866,-15.01773651,-16.1733785,1.155641988,1,TRUE,1,1,1
0.221549645,-13.42254155,-16.42464175,3.002100195,1,TRUE,1,1,1
-0.348126946,-13.45519491,-14.92728669,1.472091776,0,TRUE,0,0,1
-0.202201455,-13.10663255,-16.95987909,3.853246535,0,TRUE,0,0,0.999949574
-0.025786981,-16.82400626,-14.35031632,-2.473689939,0,FALSE,0,1,0.697470045
0.260374654,-13.37603346,-13.38394464,0.007911177,1,TRUE,1,1,0.510626572
-0.030875548,-13.22053229,-15.30392953,2.083397245,0,TRUE,0,0,0.997888468
0.035814567,-15.78908355,-15.35368307,-0.435400478,1,FALSE,1,0,0.507048886
-0.304075357,-13.59643124,-16.42517765,2.828746409,0,TRUE,0,0,0.99999999
-0.355869125,-14.14419235,-15.9798762,1.835683851,0,TRUE,0,0,1
0.435582128,-13.05045188,-13.63417087,0.583718985,1,TRUE,1,1,0.873826772
0.200783881,-15.94460271,-16.07842626,0.13382355,1,TRUE,1,1,0.806908793
0.283711052,-14.52879202,-14.24225168,-0.286540344,1,TRUE,1,1,0.980577835
0.083250256,-15.56396905,-13.1690912,-2.394877855,1,TRUE,1,1,0.807282382
0.026503534,-13.00698102,-16.31322471,3.306243688,1,TRUE,1,1,0.987974451
0.302887594,-16.30636705,-15.46783326,-0.838533792,1,TRUE,1,1,0.999999954
0.200416506,-16.39141996,-13.88543501,-2.505984957,1,TRUE,1,1,0.751423795
0.128349829,-16.20614989,-16.03691736,-0.169232528,1,FALSE,1,0,0.590041307
0.06953559,-16.05721551,-13.94529153,-2.111923982,1,TRUE,1,1,0.791963828
0.353361138,-13.09807032,-14.82801541,1.729945093,1,TRUE,1,1,1
-0.417892665,-13.6469483,-15.99097323,2.344024927,0,TRUE,0,0,1
0.079244557,-16.60237967,-16.06799646,-0.534383205,1,FALSE,1,0,0.520361564
-0.151300152,-13.67212416,-16.58755742,2.91543326,0,TRUE,0,0,0.999920439
-0.290383923,-13.91432467,-13.3369272,-0.577397472,0,TRUE,0,0,0.999739225
-0.150005052,-14.83694356,-16.85563397,2.018690415,0,TRUE,0,0,0.94708666
0.183968583,-16.24189394,-16.43880708,0.196913139,1,TRUE,1,1,0.841184922
0.081932078,-16.25544238,-13.20093694,-3.054505433,1,TRUE,1,1,0.786951957
-0.286078074,-15.93323355,-14.00986051,-1.923373035,0,TRUE,0,0,0.999998211
-0.336920302,-14.1956694,-13.1152248,-1.080444602,0,TRUE,0,0,0.999995943
0.183611728,-13.2328265,-13.68752416,0.45469766,1,TRUE,1,1,0.999941526
-0.183093409,-15.59493274,-13.63548346,-1.959449284,0,TRUE,0,0,0.999899636
-0.273353474,-14.87356175,-14.40259518,-0.470966569,0,TRUE,0,0,0.999349524
-0.040767726,-14.41122386,-14.15277603,-0.258447829,0,TRUE,0,0,0.503045404
0.237777732,-15.283917,-15.62288459,0.338967593,1,TRUE,1,1,0.999925814
0.413007662,-14.99064187,-14.11604217,-0.874599707,1,TRUE,1,1,0.99999992
-0.369981412,-13.89494097,-16.66426068,2.769319709,0,TRUE,0,0,1
-0.182728755,-14.31778693,-13.04044601,-1.277340916,0,TRUE,0,0,0.999781715
-0.058783799,-13.15799155,-14.59224873,1.434257177,0,TRUE,0,0,0.992109843
-0.111005493,-16.64641707,-13.0952448,-3.551172269,0,TRUE,0,0,0.741555679
0.393663952,-16.82352615,-14.36595643,-2.457569714,1,TRUE,1,1,1
0.079505361,-13.96118896,-16.15081754,2.189628575,1,TRUE,1,1,0.999999993
0.113469414,-14.06613512,-14.14776041,0.081625286,1,TRUE,1,1,0.506545288
-0.063806426,-16.35837386,-13.01737708,-3.340996782,0,FALSE,0,1,0.605296007
0.029998957,-14.75603227,-14.30478947,-0.451242806,1,TRUE,1,1,0.574567566
-0.390348291,-14.65252138,-14.50983754,-0.142683832,0,TRUE,0,0,0.693239498
0.296105215,-14.06964743,-15.44903576,1.379388336,1,TRUE,1,1,1
-0.358453202,-13.73384411,-14.46414009,0.730295973,0,TRUE,0,0,0.99999972
-0.208023997,-13.86670411,-15.63971923,1.773015126,0,TRUE,0,0,0.992370832
-0.004926813,-16.04656556,-14.08351979,-1.963045765,0,FALSE,0,1,0.768069346
0.413447488,-14.54998004,-13.11506951,-1.434910532,1,TRUE,1,1,1
-0.237320945,-15.1087196,-16.32479042,1.216070823,0,TRUE,0,0,0.99999935
0.041765926,-15.09479698,-16.26990629,1.175109314,1,TRUE,1,1,0.531920089
0.091837277,-16.05800845,-13.73628575,-2.321722698,1,TRUE,1,1,0.794631795
-0.085545764,-13.88475971,-15.53411091,1.649351203,0,TRUE,0,0,0.995247339
-0.228393952,-13.87596619,-16.57231134,2.696345154,0,TRUE,0,0,0.785816111
-0.153499409,-15.12688291,-15.78842944,0.661546529,0,TRUE,0,0,0.599413215
-0.02951773,-14.07985456,-14.20143078,0.121576215,0,TRUE,0,0,0.58662186
0.012520162,-16.96843882,-16.40328272,-0.565156101,1,FALSE,1,0,0.511058948
-0.068027739,-15.70889096,-13.28332507,-2.425565898,0,FALSE,0,1,0.627772741
0.078459647,-13.93494678,-14.59912813,0.664181348,1,FALSE,1,0,0.500157419
-0.015686554,-15.6312308,-13.55108201,-2.080148789,0,FALSE,0,1,0.775087263
0.078217049,-16.17386256,-16.64333052,0.469467963,1,TRUE,1,1,0.50596952
0.33907231,-15.08444239,-14.28288814,-0.801554247,1,TRUE,1,1,0.999999374
0.066331581,-15.81967332,-15.75463999,-0.065033329,1,FALSE,1,0,0.558219068
0.312524114,-14.24066717,-14.64602695,0.405359782,1,TRUE,1,1,0.999998888
-0.046384561,-13.20597509,-13.6942884,0.488313312,0,TRUE,0,0,0.692654782
-0.104041982,-13.15374367,-13.61264056,0.458896897,0,FALSE,0,1,0.533531848
0.209529948,-14.39261168,-13.51015334,-0.882458344,1,TRUE,1,1,0.672691855
0.182663404,-15.69994747,-16.75057177,1.050624303,1,TRUE,1,1,1
0.075928884,-13.37730685,-14.55678715,1.179480292,1,TRUE,1,1,0.944380008
-0.02336665,-15.23637073,-16.5205233,1.284152563,0,TRUE,0,0,0.818219135
-0.263026091,-14.81002123,-15.77637836,0.966357123,0,TRUE,0,0,0.99999997
-0.231659395,-13.26972108,-13.74588819,0.476167113,0,TRUE,0,0,0.999948192
0.254362213,-15.28960336,-15.36209082,0.072487464,1,TRUE,1,1,0.914285952
-0.350778084,-14.77208474,-14.38153141,-0.390553337,0,TRUE,0,0,0.959666989
-0.185441117,-14.22030802,-15.64177364,1.421465623,0,TRUE,0,0,0.937354136
0.21748417,-15.95708095,-14.32895902,-1.628121931,1,TRUE,1,1,0.549375555
-0.280266091,-13.95658948,-13.21329004,-0.743299442,0,TRUE,0,0,0.999955629
0.04753732,-13.44511117,-16.49290965,3.047798477,1,TRUE,1,1,0.999952195
-0.052930362,-15.01406129,-16.85314333,1.839082042,0,TRUE,0,0,0.992023378
0.041859755,-15.88526194,-13.92983233,-1.95542961,1,TRUE,1,1,0.796320304
-0.032521179,-15.21409739,-14.20262628,-1.011471112,0,FALSE,0,1,0.693280891
0.021394878,-14.36305615,-13.61902601,-0.744030138,1,TRUE,1,1,0.681246398
-0.390643307,-14.51856926,-15.01423759,0.495668326,0,TRUE,0,0,0.999999988
-0.117115839,-14.11637082,-14.29398048,0.177609655,0,TRUE,0,0,0.561407079
0.29758581,-16.64218482,-15.03891331,-1.603271518,1,TRUE,1,1,0.992946883
-0.215345257,-13.50811013,-14.74923895,1.241128817,0,TRUE,0,0,0.999905364
