DN_-50c,Tau_-50c,DN_-25c,Tau_-25c,DN_0c,Tau_0c,DN_30c,Tau_30c,DN_50c,Tau_50c,DN_75c,Tau_75c,DN_100c,Tau_100c,DN_125c,Tau_125c
3.11E+13,2.45E-05,3.31E+13,2.00E-05,3.13E+13,1.81E-05,3.10E+13,1.75E-05,2.18E+13,2.36E-05,2.14E+13,3.54E-05,2.13E+13,5.61E-05,2.06E+13,8.55E-05
3.38E+13,2.45E-05,3.51E+13,2.00E-05,3.19E+13,1.81E-05,3.33E+13,1.75E-05,2.34E+13,2.36E-05,2.34E+13,3.54E-05,2.37E+13,5.61E-05,2.35E+13,8.55E-05
3.70E+13,2.46E-05,3.75E+13,2.00E-05,3.53E+13,1.81E-05,3.55E+13,1.75E-05,2.50E+13,2.36E-05,2.51E+13,3.54E-05,2.53E+13,5.61E-05,2.56E+13,8.55E-05
4.05E+13,2.46E-05,3.98E+13,2.00E-05,3.56E+13,1.81E-05,3.79E+13,1.75E-05,2.63E+13,2.36E-05,2.71E+13,3.54E-05,2.84E+13,5.60E-05,2.69E+13,8.55E-05
4.38E+13,2.46E-05,4.44E+13,2.00E-05,3.98E+13,1.81E-05,4.13E+13,1.75E-05,2.85E+13,2.36E-05,2.96E+13,3.54E-05,2.97E+13,5.60E-05,3.02E+13,8.54E-05
4.72E+13,2.46E-05,4.66E+13,2.00E-05,4.17E+13,1.81E-05,4.50E+13,1.75E-05,3.18E+13,2.36E-05,3.14E+13,3.54E-05,3.21E+13,5.60E-05,3.38E+13,8.54E-05
5.12E+13,2.46E-05,5.13E+13,2.00E-05,4.39E+13,1.81E-05,4.84E+13,1.75E-05,3.46E+13,2.36E-05,3.52E+13,3.54E-05,3.55E+13,5.60E-05,3.70E+13,8.54E-05
5.54E+13,2.46E-05,5.45E+13,2.00E-05,4.75E+13,1.81E-05,5.05E+13,1.75E-05,3.57E+13,2.36E-05,3.60E+13,3.54E-05,3.68E+13,5.60E-05,3.75E+13,8.54E-05
6.02E+13,2.46E-05,5.83E+13,2.00E-05,5.25E+13,1.81E-05,5.38E+13,1.75E-05,3.92E+13,2.36E-05,3.92E+13,3.54E-05,4.04E+13,5.60E-05,3.94E+13,8.54E-05
6.50E+13,2.46E-05,6.38E+13,2.01E-05,5.60E+13,1.82E-05,5.88E+13,1.75E-05,4.21E+13,2.36E-05,4.30E+13,3.54E-05,4.50E+13,5.60E-05,4.42E+13,8.53E-05
7.06E+13,2.47E-05,6.79E+13,2.01E-05,5.93E+13,1.82E-05,6.40E+13,1.75E-05,4.56E+13,2.36E-05,4.65E+13,3.54E-05,4.68E+13,5.60E-05,5.04E+13,8.53E-05
7.76E+13,2.47E-05,7.34E+13,2.01E-05,6.40E+13,1.82E-05,6.83E+13,1.75E-05,4.99E+13,2.36E-05,5.12E+13,3.54E-05,5.17E+13,5.60E-05,5.31E+13,8.52E-05
8.38E+13,2.47E-05,7.91E+13,2.01E-05,6.79E+13,1.82E-05,7.34E+13,1.76E-05,5.15E+13,2.36E-05,5.39E+13,3.54E-05,5.64E+13,5.59E-05,5.80E+13,8.52E-05
9.19E+13,2.47E-05,8.60E+13,2.01E-05,7.39E+13,1.82E-05,7.84E+13,1.76E-05,5.62E+13,2.36E-05,5.68E+13,3.54E-05,6.05E+13,5.59E-05,6.12E+13,8.52E-05
1.01E+14,2.48E-05,9.31E+13,2.01E-05,7.91E+13,1.82E-05,8.36E+13,1.76E-05,6.11E+13,2.36E-05,6.15E+13,3.54E-05,6.45E+13,5.59E-05,6.56E+13,8.51E-05
1.10E+14,2.48E-05,1.02E+14,2.02E-05,8.49E+13,1.82E-05,9.01E+13,1.76E-05,6.64E+13,2.36E-05,6.62E+13,3.54E-05,6.83E+13,5.59E-05,7.24E+13,8.51E-05
